Project Name,Bug Description,Buggy File Location,Fixed File Location,Patch Location,Test Case Trigger,Bug Type,Test Count,Timeout Info,Patch Content,Test Script Path,Language
FLATTEN,Bug in flatten implementation,python_programs/flatten.py,correct_python_programs/flatten.py,patches/flatten.patch,Exception triggering inputs,Condition Error,7,3000ms,"--- python_programs/flatten.py
+++ correct_python_programs/flatten.py
@@ -1,29 +1,9 @@
+
 def flatten(arr):
     for x in arr:
         if isinstance(x, list):
             for y in flatten(x):
                 yield y
         else:
-            yield flatten(x)
+            yield x
 
-
-
-""""""
-Flatten
-
-Flattens a nested list data structure into a single list.
-
-
-Input:
-    arr: A list
-
-Precondition:
-    The input has no list containment cycles
-
-Output:
-    A generator for the input's non-list objects
-
-Example:
-    >>> list(flatten([[1, [], [2, 3]], [[4]], 5]))
-    [1, 2, 3, 4, 5]
-""""""
",java_testcases/junit/FLATTEN_TEST.java,Python
GCD,Bug in gcd implementation,python_programs/gcd.py,correct_python_programs/gcd.py,patches/gcd.patch,Exception triggering inputs,Return Value,5,3000ms,"--- python_programs/gcd.py
+++ correct_python_programs/gcd.py
@@ -1,26 +1,7 @@
+
 def gcd(a, b):
     if b == 0:
         return a
     else:
-        return gcd(a % b, b)
+        return gcd(b, a % b)
 
-
-""""""
-Input:
-    a: A nonnegative int
-    b: A nonnegative int
-
-
-Greatest Common Divisor
-
-Precondition:
-    isinstance(a, int) and isinstance(b, int)
-
-Output:
-    The greatest int that divides evenly into a and b
-
-Example:
-    >>> gcd(35, 21)
-    7
-
-""""""
",java_testcases/junit/GCD_TEST.java,Python
GET_FACTORS,Bug in get factors implementation,python_programs/get_factors.py,correct_python_programs/get_factors.py,patches/get_factors.patch,Exception triggering inputs,Return Value,11,3000ms,"--- python_programs/get_factors.py
+++ correct_python_programs/get_factors.py
@@ -7,29 +7,16 @@
         if n % i == 0:
             return [i] + get_factors(n // i)
 
-    return []
-
+    return [n]
 
 """"""
-Prime Factorization
+def get_factors(n):
+    if n == 1:
+        return []
 
+    for i in range(2, n + 1):
+        if n % i == 0:
+            return [i] + get_factors(n // i)
 
-Factors an int using naive trial division.
-
-Input:
-    n: An int to factor
-
-Output:
-    A list of the prime factors of n in sorted order with repetition
-
-Precondition:
-    n >= 1
-
-Examples:
-    >>> get_factors(1)
-    []
-    >>> get_factors(100)
-    [2, 2, 5, 5]
-    >>> get_factors(101)
-    [101]
+    return []
 """"""
",java_testcases/junit/GET_FACTORS_TEST.java,Python
HANOI,Bug in hanoi implementation,python_programs/hanoi.py,correct_python_programs/hanoi.py,patches/hanoi.patch,Exception triggering inputs,Return Value,7,3000ms,"--- python_programs/hanoi.py
+++ correct_python_programs/hanoi.py
@@ -1,35 +1,10 @@
+
 def hanoi(height, start=1, end=3):
     steps = []
     if height > 0:
         helper = ({1, 2, 3} - {start} - {end}).pop()
         steps.extend(hanoi(height - 1, start, helper))
-        steps.append((start, helper))
+        steps.append((start, end))
         steps.extend(hanoi(height - 1, helper, end))
 
     return steps
-
-
-""""""
-Towers of Hanoi
-hanoi
-
-
-An algorithm for solving the Towers of Hanoi puzzle.  Three pegs exist, with a stack of differently-sized
-disks beginning on one peg, ordered from smallest on top to largest on bottom.  The goal is to move the
-entire stack to a different peg via a series of steps.  Each step must move a single disk from one peg to
-another. At no point may a disk be placed on top of another smaller disk.
-
-Input:
-    height: The height of the initial stack of disks.
-    start: The numbered peg where the initial stack resides.
-    end: The numbered peg which the stack must be moved onto.
-
-Preconditions:
-    height >= 0
-    start in (1, 2, 3)
-    end in (1, 2, 3)
-
-Output:
-    An ordered list of pairs (a, b) representing the shortest series of steps (each step moving
-    the top disk from peg a to peg b) that solves the puzzle.
-""""""
",java_testcases/junit/HANOI_TEST.java,Python
IS_VALID_PARENTHESIZATION,Bug in is valid parenthesization implementation,python_programs/is_valid_parenthesization.py,correct_python_programs/is_valid_parenthesization.py,patches/is_valid_parenthesization.patch,Exception triggering inputs,Return Value,3,3000ms,"--- python_programs/is_valid_parenthesization.py
+++ correct_python_programs/is_valid_parenthesization.py
@@ -9,23 +9,106 @@
             if depth < 0:
                 return False
 
+    return depth == 0
+
+""""""
+def is_valid_parenthesization(parens):
+    depth = 0
+    for paren in parens:
+        if paren == '(':
+            depth += 1
+        else:
+            depth -= 1
+            if depth < 0:
+                return False
+
+    return 0 == depth
+
+def is_valid_parenthesization(parens):
+    depth = 0
+    for paren in parens:
+        if paren == '(':
+            depth += 1
+        else:
+            depth -= 1
+            if depth < 0:
+                return False
+
+    return True if depth == 0 else False
+
+def is_valid_parenthesization(parens):
+    depth = 0
+    for paren in parens:
+        if paren == '(':
+            depth += 1
+        else:
+            depth -= 1
+            if depth < 0:
+                return False
+
+    return not depth
+
+def is_valid_parenthesization(parens):
+    depth = 0
+    for paren in parens:
+        if paren == '(':
+            depth += 1
+        else:
+            depth -= 1
+            if depth < 0:
+                return False
+
+    return (depth == 0)
+
+def is_valid_parenthesization(parens):
+    depth = 0
+    for paren in parens:
+        if paren == '(':
+            depth += 1
+        else:
+            depth -= 1
+            if depth < 0:
+                return False
+
+    return (0 == depth)
+
+def is_valid_parenthesization(parens):
+    depth = 0
+    for paren in parens:
+        if paren == '(':
+            depth += 1
+        else:
+            depth -= 1
+            if depth < 0:
+                return False
+
+    if depth > 0: return False
     return True
 
+def is_valid_parenthesization(parens):
+    depth = 0
+    for paren in parens:
+        if paren == '(':
+            depth += 1
+        else:
+            depth -= 1
+            if depth < 0:
+                return False
+
+    if depth != 0: return False
+    return True
+
+def is_valid_parenthesization(parens):
+    depth = 0
+    for paren in parens:
+        if paren == '(':
+            depth += 1
+        else:
+            depth -= 1
+            if depth < 0:
+                return False
+
+    if depth: return False
+    return True
 
 """"""
-Nested Parens
-Input:
-    parens: A string of parentheses
-
-Precondition:
-    all(paren in '()' for paren in parens)
-
-Output:
-    Whether the parentheses are properly nested
-
-Examples:
-    >>> is_valid_parenthesization('((()()))()')
-    True
-    >>> is_valid_parenthesization(')()(')
-    False
-""""""
",java_testcases/junit/IS_VALID_PARENTHESIZATION_TEST.java,Python
KHEAPSORT,Bug in kheapsort implementation,python_programs/kheapsort.py,correct_python_programs/kheapsort.py,patches/kheapsort.patch,Exception triggering inputs,Array Bounds,4,3000ms,"--- python_programs/kheapsort.py
+++ correct_python_programs/kheapsort.py
@@ -1,38 +1,13 @@
+
 def kheapsort(arr, k):
     import heapq
 
     heap = arr[:k]
     heapq.heapify(heap)
 
-    for x in arr:
+    for x in arr[k:]:
         yield heapq.heappushpop(heap, x)
 
     while heap:
         yield heapq.heappop(heap)
 
-
-""""""
-K-Heapsort
-k-heapsort
-
-Sorts an almost-sorted array, wherein every element is no more than k units from its sorted position, in O(n log k) time.
-
-Input:
-    arr: A list of ints
-    k: an int indicating the maximum displacement of an element in arr from its final sorted location
-
-Preconditions:
-    The elements of arr are unique.
-    Each element in arr is at most k places from its sorted position.
-
-Output:
-    A generator that yields the elements of arr in sorted order
-
-Example:
-    >>> list(kheapsort([3, 2, 1, 5, 4], 2))
-    [1, 2, 3, 4, 5]
-    >>> list(kheapsort([5, 4, 3, 2, 1], 4))
-    [1, 2, 3, 4, 5]
-    >>> list(kheapsort([1, 2, 3, 4, 5], 0))
-    [1, 2, 3, 4, 5]
-""""""
",java_testcases/junit/KHEAPSORT_TEST.java,Python
KNAPSACK,Bug in knapsack implementation,python_programs/knapsack.py,correct_python_programs/knapsack.py,patches/knapsack.patch,Exception triggering inputs,Return Value,10,3000ms,"--- python_programs/knapsack.py
+++ correct_python_programs/knapsack.py
@@ -9,7 +9,7 @@
         for j in range(1, capacity + 1):
             memo[i, j] = memo[i - 1, j]
 
-            if weight < j:
+            if weight <= j:
                 memo[i, j] = max(
                     memo[i, j],
                     value + memo[i - 1, j - weight]
@@ -17,21 +17,3 @@
 
     return memo[len(items), capacity]
 
-""""""
-Knapsack
-knapsack
-
-You have a knapsack that can hold a maximum weight. You are given a selection of items, each with a weight and a value. You may
-choose to take or leave each item, but you must choose items whose total weight does not exceed the capacity of your knapsack.
-
-Input:
-    capacity: Max weight the knapsack can hold, an int
-    items: The items to choose from, a list of (weight, value) pairs
-
-Output:
-    The maximum total value of any combination of items that the knapsack can hold
-
-Example:
-    >>> knapsack(100, [(60, 10), (50, 8), (20, 4), (20, 4), (8, 3), (3, 2)])
-    19
-""""""
",java_testcases/junit/KNAPSACK_TEST.java,Python
KTH,Bug in kth implementation,python_programs/kth.py,correct_python_programs/kth.py,patches/kth.patch,Exception triggering inputs,Return Value,7,3000ms,"--- python_programs/kth.py
+++ correct_python_programs/kth.py
@@ -1,3 +1,4 @@
+
 def kth(arr, k):
     pivot = arr[0]
     below = [x for x in arr if x < pivot]
@@ -9,24 +10,6 @@
     if k < num_less:
         return kth(below, k)
     elif k >= num_lessoreq:
-        return kth(above, k)
+        return kth(above, k - num_lessoreq)
     else:
         return pivot
-
-
-
-""""""
-QuickSelect
-
-This is an efficient equivalent to sorted(arr)[k].
-
-Input:
-    arr: A list of ints
-    k: An int
-
-Precondition:
-    0 <= k < len(arr)
-
-Output:
-    The kth-lowest element of arr (0-based)
-""""""
",java_testcases/junit/KTH_TEST.java,Python
LCS_LENGTH,Bug in lcs length implementation,python_programs/lcs_length.py,correct_python_programs/lcs_length.py,patches/lcs_length.patch,Exception triggering inputs,Return Value,9,3000ms,"--- python_programs/lcs_length.py
+++ correct_python_programs/lcs_length.py
@@ -1,3 +1,4 @@
+
 def lcs_length(s, t):
     from collections import Counter
 
@@ -6,26 +7,6 @@
     for i in range(len(s)):
         for j in range(len(t)):
             if s[i] == t[j]:
-                dp[i, j] = dp[i - 1, j] + 1
+                dp[i, j] = dp[i - 1, j - 1] + 1
 
     return max(dp.values()) if dp else 0
-
-
-
-""""""
-Longest Common Substring
-longest-common-substring
-
-Input:
-    s: a string
-    t: a string
-
-Output:
-    Length of the longest substring common to s and t
-
-Example:
-    >>> lcs_length('witch', 'sandwich')
-    2
-    >>> lcs_length('meow', 'homeowner')
-    4
-""""""
",java_testcases/junit/LCS_LENGTH_TEST.java,Python
LEVENSHTEIN,Bug in levenshtein implementation,python_programs/levenshtein.py,correct_python_programs/levenshtein.py,patches/levenshtein.patch,Exception triggering inputs,Return Value,7,3000ms,"--- python_programs/levenshtein.py
+++ correct_python_programs/levenshtein.py
@@ -1,9 +1,10 @@
+
 def levenshtein(source, target):
     if source == '' or target == '':
         return len(source) or len(target)
 
     elif source[0] == target[0]:
-        return 1 + levenshtein(source[1:], target[1:])
+        return levenshtein(source[1:], target[1:])
 
     else:
         return 1 + min(
@@ -12,21 +13,3 @@
             levenshtein(source[1:], target)
         )
 
-""""""
-Levenshtein Distance
-
-
-Calculates the Levenshtein distance between two strings.  The Levenshtein distance is defined as the minimum amount of single-character edits (either removing a character, adding a character, or changing a character) necessary to transform a source string into a target string.
-
-Input:
-    source: The string you begin with.
-    target: The string to transform into.
-
-Output:
-    The Levenshtein distance between the source and target.
-
-Example:
-    electron can be transformed into neutron by removing the e, turning the l into n, and turning the c into u.
-    >>> levenshtein(electron, neutron)
-    3
-""""""
",java_testcases/junit/LEVENSHTEIN_TEST.java,Python
LIS,Bug in lis implementation,python_programs/lis.py,correct_python_programs/lis.py,patches/lis.patch,Exception triggering inputs,Return Value,4,3000ms,"--- python_programs/lis.py
+++ correct_python_programs/lis.py
@@ -11,27 +11,24 @@
 
         if length == longest or val < arr[ends[length + 1]]:
             ends[length + 1] = i
-            longest = length + 1
+            longest = max(longest, length + 1)
 
     return longest
 
+""""""
+def lis(arr):
+    ends = {}
+    longest = 0
 
+    for i, val in enumerate(arr):
 
+        prefix_lengths = [j for j in range(1, longest + 1) if arr[ends[j]] < val]
+
+        length = max(prefix_lengths) if prefix_lengths else 0
+
+        if length == longest or val < arr[ends[length + 1]]:
+            ends[length + 1] = i
+            longest = max(length + 1, longest)
+
+    return longest
 """"""
-Longest Increasing Subsequence
-longest-increasing-subsequence
-
-
-Input:
-    arr: A sequence of ints
-
-Precondition:
-    The ints in arr are unique
-
-Output:
-    The length of the longest monotonically increasing subsequence of arr
-
-Example:
-    >>> lis([4, 1, 5, 3, 7, 6, 2])
-    3
-""""""
",java_testcases/junit/LIS_TEST.java,Python
LONGEST_COMMON_SUBSEQUENCE,Bug in longest common subsequence implementation,python_programs/longest_common_subsequence.py,correct_python_programs/longest_common_subsequence.py,patches/longest_common_subsequence.patch,Exception triggering inputs,Return Value,10,3000ms,"--- python_programs/longest_common_subsequence.py
+++ correct_python_programs/longest_common_subsequence.py
@@ -1,9 +1,10 @@
+
 def longest_common_subsequence(a, b):
     if not a or not b:
         return ''
 
     elif a[0] == b[0]:
-        return a[0] + longest_common_subsequence(a[1:], b)
+        return a[0] + longest_common_subsequence(a[1:], b[1:])
 
     else:
         return max(
@@ -12,23 +13,3 @@
             key=len
         )
 
-
-
-""""""
-Longest Common Subsequence
-
-
-Calculates the longest subsequence common to the two input strings. (A subsequence is any sequence of letters in the same order
-they appear in the string, possibly skipping letters in between.)
-
-Input:
-    a: The first string to consider.
-    b: The second string to consider.
-
-Output:
-    The longest string which is a subsequence of both strings. (If multiple subsequences of equal length exist, either is OK.)
-
-Example:
-    >>> longest_common_subsequence('headache', 'pentadactyl')
-    'eadac'
-""""""
",java_testcases/junit/LONGEST_COMMON_SUBSEQUENCE_TEST.java,Python
MAX_SUBLIST_SUM,Bug in max sublist sum implementation,python_programs/max_sublist_sum.py,correct_python_programs/max_sublist_sum.py,patches/max_sublist_sum.patch,Exception triggering inputs,Return Value,6,3000ms,"--- python_programs/max_sublist_sum.py
+++ correct_python_programs/max_sublist_sum.py
@@ -4,28 +4,41 @@
     max_so_far = 0
 
     for x in arr:
-        max_ending_here = max_ending_here + x
+        max_ending_here = max(0, max_ending_here + x)
+        max_so_far = max(max_so_far, max_ending_here)
+
+    return max_so_far
+
+""""""
+def max_sublist_sum(arr):
+    max_ending_here = 0
+    max_so_far = 0
+
+    for x in arr:
+        max_ending_here = max(max_ending_here + x, 0)
+        max_so_far = max(max_so_far, max_ending_here)
+
+    return max_so_far
+
+def max_sublist_sum(arr):
+    max_ending_here = 0
+    max_so_far = 0
+
+    for x in arr:
+        max_ending_here = max(x, max_ending_here + x)
         max_so_far = max(max_so_far, max_ending_here)
 
     return max_so_far
 
 
+def max_sublist_sum(arr):
+    max_ending_here = 0
+    max_so_far = 0
+
+    for x in arr:
+        max_ending_here = max(max_ending_here + x, x)
+        max_so_far = max(max_so_far, max_ending_here)
+
+    return max_so_far
+
 """"""
-Max Sublist Sum
-max-sublist-sum
-
-Efficient equivalent to max(sum(arr[i:j]) for 0 <= i <= j <= len(arr))
-
-Algorithm source: WordAligned.org by Thomas Guest
-
-
-Input:
-    arr: A list of ints
-
-Output:
-    The maximum sublist sum
-
-Example:
-    >>> max_sublist_sum([4, -5, 2, 1, -1, 3])
-    5
-""""""
",java_testcases/junit/MAX_SUBLIST_SUM_TEST.java,Python
MERGESORT,Bug in mergesort implementation,python_programs/mergesort.py,correct_python_programs/mergesort.py,patches/mergesort.patch,Exception triggering inputs,Return Value,13,3000ms,"--- python_programs/mergesort.py
+++ correct_python_programs/mergesort.py
@@ -14,7 +14,7 @@
         result.extend(left[i:] or right[j:])
         return result
 
-    if len(arr) == 0:
+    if len(arr) <= 1:
         return arr
     else:
         middle = len(arr) // 2
@@ -22,15 +22,73 @@
         right = mergesort(arr[middle:])
         return merge(left, right)
 
+""""""
+def mergesort(arr):
+    def merge(left, right):
+        result = []
+        i = 0
+        j = 0
+        while i < len(left) and j < len(right):
+            if left[i] <= right[j]:
+                result.append(left[i])
+                i += 1
+            else:
+                result.append(right[j])
+                j += 1
+        result.extend(left[i:] or right[j:])
+        return result
 
+    if len(arr) == 0 or len(arr) == 1:
+        return arr
+    else:
+        middle = len(arr) // 2
+        left = mergesort(arr[:middle])
+        right = mergesort(arr[middle:])
+        return merge(left, right)
 
+def mergesort(arr):
+    def merge(left, right):
+        result = []
+        i = 0
+        j = 0
+        while i < len(left) and j < len(right):
+            if left[i] <= right[j]:
+                result.append(left[i])
+                i += 1
+            else:
+                result.append(right[j])
+                j += 1
+        result.extend(left[i:] or right[j:])
+        return result
+
+    if len(arr) == 1 or len(arr) == 0:
+        return arr
+    else:
+        middle = len(arr) // 2
+        left = mergesort(arr[:middle])
+        right = mergesort(arr[middle:])
+        return merge(left, right)
+
+def mergesort(arr):
+    def merge(left, right):
+        result = []
+        i = 0
+        j = 0
+        while i < len(left) and j < len(right):
+            if left[i] <= right[j]:
+                result.append(left[i])
+                i += 1
+            else:
+                result.append(right[j])
+                j += 1
+        result.extend(left[i:] or right[j:])
+        return result
+
+    if len(arr) < 2:
+        return arr
+    else:
+        middle = len(arr) // 2
+        left = mergesort(arr[:middle])
+        right = mergesort(arr[middle:])
+        return merge(left, right)
 """"""
-Merge Sort
-
-
-Input:
-    arr: A list of ints
-
-Output:
-    The elements of arr in sorted order
-""""""
",java_testcases/junit/MERGESORT_TEST.java,Python
MINIMUM_SPANNING_TREE,Bug in minimum spanning tree implementation,python_programs/minimum_spanning_tree.py,correct_python_programs/minimum_spanning_tree.py,patches/minimum_spanning_tree.patch,Standard input values,Return Value,3,3000ms,"--- python_programs/minimum_spanning_tree.py
+++ correct_python_programs/minimum_spanning_tree.py
@@ -9,34 +9,7 @@
             mst_edges.add(edge)
             group_by_node[u].update(group_by_node[v])
             for node in group_by_node[v]:
-                group_by_node[node].update(group_by_node[u])
+                group_by_node[node] = group_by_node[u]
 
     return mst_edges
 
-
-
-
-""""""
-Minimum Spanning Tree
-
-
-Kruskal's algorithm implementation.
-
-Input:
-    weight_by_edge: A dict of the form {(u, v): weight} for every undirected graph edge {u, v}
-
-Precondition:
-    The input graph is connected
-
-Output:
-    A set of edges that connects all the vertices of the input graph and has the least possible total weight.
-
-Example:
-    >>> minimum_spanning_tree({
-    ...     (1, 2): 10,
-    ...     (2, 3): 15,
-    ...     (3, 4): 10,
-    ...     (1, 4): 10
-    ... })
-    {(1, 2), (3, 4), (1, 4)}
-""""""
",java_testcases/junit/MINIMUM_SPANNING_TREE_TEST.java,Python
MINIMUM_SPANNING_TREE_TEST,Bug in minimum spanning tree test implementation,python_programs/minimum_spanning_tree_test.py,correct_python_programs/minimum_spanning_tree_test.py,N/A,Test case analysis not available,Logic Error,0,3000ms,,Test script not found,Python
